LT;Largada;S22.92456 W48.48060;;;;
W;WP01-K0049;S22.92718 W48.48372;;;;
W;WP02-K0089;S22.92906 W48.49468;;;;
W;WP03-K0093;S22.93406 W48.50192;;;;
W;WP04-K0151;S22.94228 W48.50273;;;;
W;WP05-K0197;S22.94716 W48.50335;;;;
W;WP06-K0250;S22.94927 W48.49243;;;;
I1;Parcial 1;S22.94927 W48.49243;;;;
W;WP07-K0307;S22.95601 W48.51204;;;;
IR;ZVC1;S22.95601 W48.51204;;;;
W;WP08-FZVC1;S22.94970 W48.50176;;;;
FR;FZVC1;S22.94970 W48.50176;;;;
W;WP09-K0349;S22.96073 W48.51631;;;;
W;WP10-K0401;S22.97000 W48.52734;;;;
W;WP11-K0439;S22.96105 W48.51749;;;;
IR;ZVC2;S22.96105 W48.51749;;;;
W;WP12-K0440;S22.96045 W48.51765;;;;
FR;FZVC2;S22.96045 W48.51765;;;;
W;WP13-K0452;S22.96357 W48.52764;;;;
W;WP14-K0482;S22.97218 W48.53730;;;;
I2;Parcial 2;S22.97218 W48.53730;;;;
W;WP15-IZVC3;S22.97220 W48.53725;;;;
IR;ZVC3;S22.97220 W48.53725;;;;
W;WP16-FZVC3;S22.98050 W48.54485;;;;
FR;FZVC3;S22.98050 W48.54485;;;;
W;WP17-K0496;S22.97989 W48.53629;;;;
W;WP18-K0559;S22.99583 W48.51478;;;;
W;WP19-K0601;S23.00835 W48.51666;;;;
W;WP20-K0649;S23.01507 W48.53532;;;;
I3;Parcial 3;S23.01507 W48.53532;;;;
W;WP21-K0701;S23.00846 W48.54400;;;;
W;WP22-K0748;S22.98683 W48.54044;;;;
W;WP23-K0801;S22.99600 W48.55085;;;;
W;WP24-K0850;S23.00704 W48.55071;;;;
W;WP25-K0900;S23.02030 W48.55985;;;;
W;WP26-K0953;S23.02477 W48.53926;;;;
W;WP27-K0997;S23.04022 W48.51938;;;;
W;WP28-K1051;S23.01730 W48.52251;;;;
W;WP29-K1090;S23.00752 W48.50556;;;;
I4;Parcial 4;S23.00752 W48.50556;;;;
W;WP30-IZVC4;S23.00752 W48.50556;;;;
IR;ZVC4;S23.00752 W48.50556;;;;
W;WP31-K1101;S23.01313 W48.50540;;;;
W;WP32-K1134;S23.03492 W48.48584;;;;
FR;FZVC4;S23.03492 W48.48584;;;;
W;WP33-K1157;S23.03393 W48.48108;;;;
W;WP34-K1199;S23.02018 W48.46714;;;;
W;WP35-K1251;S23.02935 W48.46470;;;;
CT;Chegada-K1268;S23.02206 W48.45492;;;;
W;WP36-Chegada Shopping;S22.91273 W48.46323;;;;
CB;Carimbo;S22.97213 W48.53697;;;;
