Veículo;SS;Tipo de tempo;Tempo;Obs
444;1;LT;16:08:10;Passagem 1 em largada (1) a 26.75km/h
444;1;CT;20:22:16;Passagem 1 em chegada (1) a 34.08km/h
444;1;W;16:07:52;Passagem 1 em waypoints (1) a 10.53km/h
444;1;W;16:15:33;Passagem 1 em waypoints (2) a 26.6km/h
444;1;W;16:18:27;Passagem 1 em waypoints (3) a 19.63km/h
444;1;W;16:26:06;Passagem 1 em waypoints (4) a 10.8km/h
444;1;W;16:31:30;Passagem 1 em waypoints (5) a 2km/h
444;1;W;16:34:24;Passagem 1 em waypoints (6) a 13.88km/h
444;1;W;16:47:11;Passagem 1 em waypoints (7) a 31.96km/h
444;1;W;16:54:56;Passagem 1 em waypoints (8) a 20.34km/h
444;1;W;17:14:26;Passagem 1 em waypoints (9) a 19.56km/h
444;1;W;17:17:41;Passagem 1 em waypoints (10) a 17.16km/h
444;1;W;17:20:56;Passagem 1 em waypoints (11) a 21.08km/h
444;1;W;17:55:56;Passagem 1 em waypoints (16) a 17.95km/h
444;1;W;18:04:20;Passagem 1 em waypoints (17) a 23.46km/h
444;1;W;18:14:20;Passagem 1 em waypoints (18) a 37.81km/h
444;1;W;18:15:32;Passagem 1 em waypoints (19) a 29.16km/h
444;1;W;18:18:32;Passagem 1 em waypoints (20) a 17.64km/h
444;1;W;18:20:53;Passagem 1 em waypoints (21) a 26.21km/h
444;1;W;18:36:47;Passagem 1 em waypoints (22) a 31.4km/h
444;1;W;18:42:05;Passagem 1 em waypoints (23) a 33.33km/h
444;1;W;18:46:02;Passagem 1 em waypoints (24) a 32.84km/h
444;1;W;18:53:50;Passagem 1 em waypoints (25) a 31.61km/h
444;1;W;18:58:20;Passagem 1 em waypoints (26) a 21.49km/h
444;1;W;19:32:40;Passagem 1 em waypoints (28) a 18km/h
444;1;W;19:34:43;Passagem 1 em waypoints (29) a 26.05km/h
444;1;W;19:42:16;Passagem 1 em waypoints (30) a 21.3km/h
444;1;W;19:46:43;Passagem 1 em waypoints (31) a 21.51km/h
444;1;W;20:04:49;Passagem 1 em waypoints (32) a 25.41km/h
444;1;W;20:14:28;Passagem 1 em waypoints (36) a 24.63km/h
444;1;W;20:16:22;Passagem 1 em waypoints (37) a 0km/h
444;1;W;20:23:00;Passagem 1 em waypoints (39) a 0km/h
444;1;C;20:00:43;Passagem 1 em carimbo (1) a 20.12km/h
444;1;I1;17:02:56;Passagem 1 em inter1 (1) a 14.03km/h
444;1;I2;18:07:11;Passagem 1 em inter2 (1) a 27.65km/h
444;1;I3;19:07:50;Passagem 1 em inter3 (1) a 19.22km/h
444;1;I4;19:36:49;Passagem 1 em inter4 (1) a 41.36km/h
444;1;IR;17:22:41;Passagem 1 em entradas (1) a 37.27km/h
444;1;IR;19:10:14;Passagem 1 em entradas (2) a 0km/h
444;1;IR;19:51:25;Passagem 1 em entradas (3) a 7.59km/h
444;1;FR;19:23:10;Passagem 1 em saidas (2) a 21.65km/h
444;1;FR;19:53:25;Passagem 1 em saidas (3) a 22.26km/h
444;1;PR;19:52:22;Ocorrência de excesso de velocidade (50.1km/h) em ZVC.
444;1;PR;19:52:25;Ocorrência de excesso de velocidade (51.02km/h) em ZVC.
444;1;PR;19:52:28;Ocorrência de excesso de velocidade (53.57km/h) em ZVC.
444;1;PR;19:52:31;Ocorrência de excesso de velocidade (52.69km/h) em ZVC.
444;1;PR;19:53:01;Ocorrência de excesso de velocidade (50.26km/h) em ZVC.
